,capacity_mw,area_sq_km,latitude,longitude
0,529.9525616999999,16.56101755,25.0,-80.0
1,1662.2884549999999,51.946514210000004,25.0,-81.0
2,8576.977144381,268.030535749,26.0,-80.0
3,37435.94970597999,1169.8734282750002,26.0,-81.0
4,13137.264029259999,410.5395008959999,26.0,-82.0
5,20139.6794562,629.3649829660001,26.0,-97.0
6,108296.73447247001,3384.2729521969995,26.0,-98.0
7,32848.09203376,1026.5028759850002,26.0,-99.0
8,573.40740057,17.91898127,27.0,-100.0
9,37328.1876215,1166.5058631850002,27.0,-80.0
10,206288.82962544294,6446.525925702,27.0,-81.0
11,132254.155425815,4132.942356959001,27.0,-82.0
12,185.87490427,5.808590758,27.0,-83.0
13,21105.8083796,659.55651184,27.0,-97.0
14,301680.4490866999,9427.514033722,27.0,-98.0
15,278910.90813069994,8715.965878810997,27.0,-99.0
16,151420.5020085,4731.890687799999,28.0,-100.0
17,5210.204988,162.818905842,28.0,-80.0
18,114348.276098274,3573.383628101001,28.0,-81.0
19,143640.29151108902,4488.7591093949995,28.0,-82.0
20,11095.356494353,346.72989042300003,28.0,-83.0
21,384.7798055,12.02436892,28.0,-96.0
22,77199.07803981999,2412.47118855,28.0,-97.0
23,318420.06568199984,9950.627052119997,28.0,-98.0
24,315986.5938159998,9874.581056309995,28.0,-99.0
25,322589.57814299996,10080.924316830002,29.0,-100.0
26,43101.89115767,1346.9340986350003,29.0,-101.0
27,13868.011107630002,433.37534709000005,29.0,-103.0
28,21471.007748,670.9689921439999,29.0,-104.0
29,55011.822509790014,1719.1194534520002,29.0,-81.0
30,156713.71043616597,4897.303451102001,29.0,-82.0
31,57053.613772029996,1782.9254303049997,29.0,-83.0
32,283.20711065,8.850222208,29.0,-89.0
33,2530.8650157599996,79.08953173999998,29.0,-90.0
34,1829.278062542,57.164939456,29.0,-91.0
35,34687.42170517001,1083.9819282570002,29.0,-95.0
36,180585.16165849005,5643.286301695997,29.0,-96.0
37,272800.8844706,8525.027639439999,29.0,-97.0
38,306697.6967010001,9584.303021710002,29.0,-98.0
39,326403.18680840015,10200.099587536004,29.0,-99.0
40,337147.47653000004,10535.858641500003,30.0,-100.0
41,310931.4765850001,9716.60864352,30.0,-101.0
42,235627.91675569996,7363.372398624001,30.0,-102.0
43,306096.2901779,9565.509067669998,30.0,-103.0
44,311616.6892512999,9738.021538919997,30.0,-104.0
45,52786.11107400001,1649.5659710700004,30.0,-105.0
46,22807.482604098004,712.7338313490001,30.0,-81.0
47,170904.36286332,5340.7613393679985,30.0,-82.0
48,219190.07153254998,6849.689735470001,30.0,-83.0
49,73767.25990292,2305.2268719130007,30.0,-84.0
50,53959.61338006499,1686.2379180409994,30.0,-85.0
51,25119.971173519,784.9990991360002,30.0,-86.0
52,3692.905287781001,115.403290254,30.0,-87.0
53,21668.201698399997,677.1313031089999,30.0,-88.0
54,15457.646263800001,483.0514457620001,30.0,-89.0
55,39688.05077909201,1240.2515868080002,30.0,-90.0
56,69937.05359591698,2185.5329248099993,30.0,-91.0
57,120181.22814293006,3755.66337936,30.0,-92.0
58,116297.24917219102,3634.289036494,30.0,-93.0
59,122531.1111439,3829.0972232709996,30.0,-94.0
60,114869.17767015102,3589.661802141001,30.0,-95.0
61,236749.52015524998,7398.422504737,30.0,-96.0
62,301186.573266,9412.080414479999,30.0,-97.0
63,272336.5098085,8510.515931262993,30.0,-98.0
64,312615.07747140015,9769.221170650004,30.0,-99.0
65,329328.45566400007,10291.514238999998,31.0,-100.0
66,326592.60801200004,10206.018999999997,31.0,-101.0
67,320889.49344299996,10027.796669599997,31.0,-102.0
68,312575.91163499997,9767.997238149997,31.0,-103.0
69,328790.5144079998,10274.703574899999,31.0,-104.0
70,278035.89123609994,8688.621601245999,31.0,-105.0
71,60339.067009432,1885.5958441989999,31.0,-106.0
72,16030.535344999998,500.95422942,31.0,-108.0
73,48122.675355499996,1503.8336048959995,31.0,-109.0
74,39297.81184190001,1228.05661996,31.0,-110.0
75,16316.137104730002,509.87928451900007,31.0,-111.0
76,734.0880656,22.94025205,31.0,-112.0
77,4375.078389783,136.721199678,31.0,-81.0
78,149568.53245782098,4674.016639255,31.0,-82.0
79,209066.768981,6533.336530259999,31.0,-83.0
80,240829.72069000007,7525.928771069997,31.0,-84.0
81,252281.00379799993,7883.781368780001,31.0,-85.0
82,233620.50199317993,7300.640687026002,31.0,-86.0
83,204157.49104214893,6379.921594728998,31.0,-87.0
84,205274.04078527002,6414.813774450002,31.0,-88.0
85,156941.34472575007,4904.417022598001,31.0,-89.0
86,245653.30435299996,7676.66576083,31.0,-90.0
87,217717.46324913992,6803.670726441001,31.0,-91.0
88,178725.49711129995,5585.171784431997,31.0,-92.0
89,198766.24886429004,6211.445277116001,31.0,-93.0
90,186750.11305682998,5835.941033098998,31.0,-94.0
91,198462.51108248206,6201.953471055001,31.0,-95.0
92,273191.7372531,8537.241788590001,31.0,-96.0
93,309593.13700099994,9674.785531350002,31.0,-97.0
94,286035.23732499994,8938.60116636,31.0,-98.0
95,332646.92364699993,10395.2163635,31.0,-99.0
96,302606.983189,9456.468224210004,32.0,-100.0
97,321921.77313499997,10060.055410400002,32.0,-101.0
98,305695.841742,9552.995053820001,32.0,-102.0
99,312470.02843,9764.688388399998,32.0,-103.0
100,314504.1039740001,9828.253248730003,32.0,-104.0
101,277684.5074243,8677.640856909999,32.0,-105.0
102,262453.88163712004,8201.683800984,32.0,-106.0
103,207531.59399333003,6485.362311961999,32.0,-107.0
104,246216.80599999998,7694.275187248998,32.0,-108.0
105,278766.95068936003,8711.467209256,32.0,-109.0
106,291692.29647192004,9115.384264887,32.0,-110.0
107,190280.06931647,5946.252165787001,32.0,-111.0
108,269014.2649252001,8406.695779158003,32.0,-112.0
109,69793.175322307,2181.03672875,32.0,-113.0
110,38547.384385,1204.605762,32.0,-114.0
111,7771.71014837,242.86594211,32.0,-115.0
112,54726.5033268,1710.203228931,32.0,-81.0
113,192381.82737692993,6011.932105375,32.0,-82.0
114,242845.93345200003,7588.935420309998,32.0,-83.0
115,261845.42785699994,8182.669620099998,32.0,-84.0
116,259308.49337024003,8103.390418021001,32.0,-85.0
117,273180.384975,8536.887030350003,32.0,-86.0
118,269675.267676,8427.352114360003,32.0,-87.0
119,259841.50077199997,8120.046899209998,32.0,-88.0
120,223869.03576070015,6995.90736742,32.0,-89.0
121,234565.14016440004,7330.160629931999,32.0,-90.0
122,235028.32327700005,7344.635102162001,32.0,-91.0
123,214232.08570072,6694.752678150001,32.0,-92.0
124,196414.535726899,6137.954241419003,32.0,-93.0
125,204685.65257660003,6396.4266428229985,32.0,-94.0
126,271509.5926452,8484.674769711997,32.0,-95.0
127,279195.36891300004,8724.855278440007,32.0,-96.0
128,310170.878614,9692.839956580001,32.0,-97.0
129,314510.04936999996,9828.439042600003,32.0,-98.0
130,300423.3474739999,9388.229608499998,32.0,-99.0
131,326656.935681,10208.029239599995,33.0,-100.0
132,322324.1591130001,10072.629971600003,33.0,-101.0
133,309031.1574829999,9657.223671499998,33.0,-102.0
134,320836.232906,10026.132278129999,33.0,-103.0
135,303587.84193100006,9487.120060030004,33.0,-104.0
136,295413.7899763201,9231.680936490997,33.0,-105.0
137,128869.04819385998,4027.157755807,33.0,-106.0
138,240036.54362489996,7501.141987792002,33.0,-107.0
139,148030.0392693,4625.938727119999,33.0,-108.0
140,188619.93641537998,5894.373012737999,33.0,-109.0
141,264829.9196879,8275.934990280002,33.0,-110.0
142,257523.37027128003,8047.605320781999,33.0,-111.0
143,202395.15676863992,6324.848648593999,33.0,-112.0
144,262101.48417179997,8190.671380256999,33.0,-113.0
145,157708.94047155004,4928.404389804,33.0,-114.0
146,108209.05891480003,3381.5330911060005,33.0,-115.0
147,98118.920722019,3066.216272673,33.0,-116.0
148,116015.71572109502,3625.491116114,33.0,-117.0
149,4066.8662405,127.08957002200002,33.0,-118.0
150,967.4588109,30.23308784,33.0,-119.0
151,15153.928268179,473.56025834800005,33.0,-79.0
152,83127.61351434096,2597.737922245,33.0,-80.0
153,189125.23767659994,5910.163676980001,33.0,-81.0
154,221215.21681350004,6912.975525220002,33.0,-82.0
155,266974.142453,8342.941951280001,33.0,-83.0
156,262060.116712,8189.378647369998,33.0,-84.0
157,285254.7009184999,8914.20940325,33.0,-85.0
158,268237.5642302891,8382.423881903998,33.0,-86.0
159,241230.3810928001,7538.449409057998,33.0,-87.0
160,220001.063267,6875.033227200001,33.0,-88.0
161,254023.2378628,7938.22618275,33.0,-89.0
162,255149.55855700004,7973.42370464,33.0,-90.0
