sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
0,0.139176667,3.354820967,591.4528875,18.48290273,48.994,-122.735,0.673353738
1,0.137450948,3.306945562,596.6472656,18.64522705,49.022,-122.575,6.875389424
2,0.136000022,3.292999983,2.8512,0.0891,49.049,-122.414,7.901461097
3,0.141827255,3.417381763,2014.383178,62.94947432,48.9,-122.688,2.910129499
4,0.13782908,3.327923536,3557.400778,111.1687743,48.927,-122.529,102.9264234
5,0.134625465,3.257651091,3142.045688,98.18892773,48.954,-122.369,104.5314564
6,0.131181672,3.181677818,2200.804931,68.7751541,48.981,-122.208,106.6722787
7,0.131270632,3.164252758,544.5869836,17.01834324,49.008,-122.048,27.10421224
8,0.131999984,3.173000097,1.8144,0.0567,48.44,-124.702,35.13546031
9,0.142316163,3.43193531,1726.834444,53.96357637,48.806,-122.642,7.744635654
10,0.139239982,3.36362052,2863.175091,89.47422158,48.833,-122.483,8.615699787
11,0.133161187,3.22484827,3490.928888,109.0915277,48.86,-122.323,97.13985707
12,0.131102115,3.155847073,2759.611781,86.23786816,48.887,-122.163,99.44305922
13,0.130671889,3.15632987,601.9712438,18.81160137,48.914,-122.003,28.62238833
14,0.131198674,3.168991327,1990.570444,62.20532637,48.347,-124.653,124.043433
15,0.133351505,3.20956707,482.4671027,15.07709696,48.376,-124.495,95.83273
16,0.139990419,3.391606331,205.2164109,6.413012842,48.712,-122.596,5.131527559
17,0.137218416,3.298476219,1536.597211,48.01866284,48.739,-122.437,87.91229902
18,0.133244529,3.203991652,3603.035419,112.5948568,48.766,-122.277,89.78984273
19,0.129020631,3.127936602,2015.318855,62.97871421,48.793,-122.118,92.27882841
20,0.135066181,3.20553565,501.5442164,15.67325676,48.819,-121.958,16.2928549
21,0.130074129,3.157487631,132.5263702,4.141449069,48.224,-124.761,91.84339672
22,0.12693803,3.084133863,3670.069753,114.6896798,48.253,-124.604,118.8350864
23,0.132025555,3.173415422,3060.716625,95.64739453,48.282,-124.447,113.1988325
24,0.132682204,3.215961695,188.6664973,5.89582804,48.311,-124.29,71.27083725
25,0.141877487,3.37934804,4.082399753,0.127574992,48.618,-122.55,8.253850972
26,0.135168433,3.242184401,3336.025753,104.2508048,48.645,-122.391,80.44101119
27,0.130681634,3.149597168,2680.677534,83.77117295,48.672,-122.232,82.49368665
28,0.130628049,3.156668901,1577.467913,49.29587227,48.699,-122.073,85.19718753
29,0.131014809,3.168851376,419.1756645,13.09923951,48.131,-124.712,103.2895512
30,0.125930116,3.067403078,3804.739847,118.8981202,48.16,-124.555,113.931038
31,0.129450664,3.126308441,4068.113119,127.128535,48.189,-124.398,108.0320844
32,0.134947643,3.253168583,3478.829513,108.7134223,48.218,-124.241,102.3790653
33,0.136067837,3.300808907,277.7457727,8.679555396,48.246,-124.084,33.08912368
34,0.137789369,3.342679501,1004.99092,31.40596626,48.524,-122.505,18.54469646
35,0.132197708,3.207385302,3703.382269,115.7306959,48.551,-122.346,73.00758469
36,0.129221424,3.126565933,1577.066203,49.28331885,48.578,-122.187,75.26460938
37,0.12881957,3.114714622,1558.805512,48.71267227,48.604,-122.028,78.14349105
38,0.131380826,3.156936646,679.6094273,21.2377946,48.631,-121.869,40.92519059
39,0.128288418,3.133462667,407.6464219,12.73895068,48.657,-121.709,25.76245465
40,0.164000005,3.761000395,61.41743921,1.919294975,48.936,-119.946,23.21418217
41,0.167351305,3.815994024,1396.543655,43.64198921,48.96,-119.785,128.2233137
42,0.157874674,3.730064154,1398.97492,43.71796626,48.985,-119.624,134.8650746
43,0.159707502,3.787033558,1085.221294,33.91316543,49.009,-119.462,137.0132832
44,0.163217127,3.837797642,259.7572863,8.117415198,49.033,-119.301,82.63967678
45,0.128614604,3.148023605,1552.325512,48.51017227,48.038,-124.663,115.6917853
46,0.126385391,3.08425498,3896.232131,121.7572541,48.067,-124.506,109.3320661
47,0.127044722,3.081558228,3698.620734,115.5818979,48.096,-124.35,103.2072592
48,0.134931803,3.245945454,1749.625945,54.67581079,48.124,-124.193,97.23336301
49,0.138004437,3.331228256,1822.284844,56.94640137,48.153,-124.036,91.5562448
50,0.140390709,3.398284674,645.2654273,20.1645446,48.181,-123.879,87.01223135
51,0.142000005,3.447000027,1.296,0.0405,48.21,-123.722,6.441565102
53,0.143268198,3.451714993,824.7251672,25.77266147,48.403,-122.618,5.038837944
54,0.137205392,3.334654808,2462.625534,76.95704795,48.43,-122.459,63.95263473
55,0.131803811,3.213056803,2236.175353,69.88047979,48.457,-122.301,65.62176471
56,0.128161818,3.13997817,1891.006509,59.09395342,48.484,-122.142,68.12601369
57,0.128317341,3.143041611,1819.804219,56.86888184,48.51,-121.983,71.30457086
58,0.129173234,3.162783384,2353.227441,73.53835752,48.537,-121.824,75.21447955
59,0.129954979,3.18274045,642.9767344,20.09302295,48.563,-121.665,72.2702722
60,0.167419001,3.837852955,1377.653063,43.0516582,48.841,-119.905,109.4001731
61,0.165990576,3.826197624,2037.848498,63.68276558,48.866,-119.744,125.617691
62,0.163913637,3.836190939,2150.515069,67.2035959,48.89,-119.583,127.4799858
63,0.162329823,3.832844019,3252.674981,101.6460932,48.914,-119.422,129.7790988
64,0.164712533,3.848706961,4109.996953,128.4374048,48.938,-119.26,127.1862014
65,0.160314217,3.749140024,3288.566081,102.76769,48.961,-119.099,124.8257472
66,0.158249453,3.713247538,1594.450575,49.82658047,48.985,-118.937,122.9567961
67,0.15475893,3.668900728,517.7986383,16.18120745,49.008,-118.776,118.8012789
68,0.15760915,3.711241722,73.59984316,2.299995099,49.031,-118.614,29.13474301
69,0.128903195,3.157450438,2376.832866,74.27602705,47.944,-124.614,111.6708896
70,0.126684576,3.099905968,4042.296647,126.3217702,47.973,-124.458,105.1047153
71,0.127025232,3.085980177,1345.950422,42.06095068,48.002,-124.302,98.70476221
72,0.130556822,3.154075623,355.8479344,11.12024795,48.031,-124.145,74.89527177
